web-scraper-order,web-scraper-start-url,links,links-href,Title,Votes,Note,Metascore,Genre
1678280058-644,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=301&ref_=adv_nxt",Chapter Eight: The Mind Flayer,https://www.imdb.com/title/tt6020812/?ref_=adv_li_tt,Chapter Eight: The Mind Flayer,22000,"9,2",,Drame
1678281219-724,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=701&ref_=adv_nxt",D'après une histoire vraie,https://www.imdb.com/title/tt5893264/?ref_=adv_li_tt,D'après une histoire vraie,7000,"5,7",43.0,Drame
1678273975-334,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=101&ref_=adv_nxt",American Assassin,https://www.imdb.com/title/tt1961175/?ref_=adv_li_tt,American Assassin,85000,"6,2",45.0,Action
1678282005-822,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=601&ref_=adv_nxt",Duet,https://www.imdb.com/title/tt5668430/?ref_=adv_li_tt,Duet,81000,"6,1",,Action
1678283082-964,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=501&ref_=adv_nxt",Taken,https://www.imdb.com/title/tt5052460/?ref_=adv_li_tt,Taken,11000,"6,6",,Action
1678280380-698,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=251&ref_=adv_nxt",Une femme fantastique,https://www.imdb.com/title/tt5639354/?ref_=adv_li_tt,Une femme fantastique,26000,"7,2",85.0,Drame
1678282906-934,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=501&ref_=adv_nxt",Men of Honor,https://www.imdb.com/title/tt3780500/?ref_=adv_li_tt,Men of Honor,10000,"6,7",73.0,Drame
1678281493-756,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=701&ref_=adv_nxt",Tikli and Laxmi Bomb,https://www.imdb.com/title/tt5983262/?ref_=adv_li_tt,Tikli and Laxmi Bomb,73000,"7,1",,Drame
1678274023-338,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=101&ref_=adv_nxt",American Gods,https://www.imdb.com/title/tt1898069/?ref_=adv_li_tt,American Gods,88000,"7,6",,Drame
1678274469-406,"https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=1&ref_=adv_nxt",The Handmaid's Tale: La Servante écarlate,https://www.imdb.com/title/tt5834204/?ref_=adv_li_tt,The Handmaid's Tale: La Servante écarlate,244000,"8,4",,Drame
